monarchrunid,uniqueid,order,date,release,spatialconfig,timecdt,duration,durationsec,behaviorclassification,surface,locatione,locationn,landcoverclassification,turnangle,steplength,bearing,turnwithin
19125a,171,2,7/23/2019,edge,mixed,13:44:24,0:00:01,1,rest,vegetative wild bergamot,525683.7997,4751973.439,rich,-24.22592616,8.587461112,329.4447418,
19125a,172,3,7/23/2019,edge,mixed,13:45:10,0:00:01,1,fly,air,525679.4341,4751980.834,crop,155.3949038,57.34299644,124.8396456,
19125a,173,4,7/23/2019,edge,mixed,13:45:26,0:03:17,197,rest,grass,525726.4986,4751948.075,rich,4.291735125,10.28837312,129.1313807,
19125a,174,5,7/23/2019,edge,mixed,13:48:45,0:00:40,40,rest,wild bergamot,525734.4793,4751941.582,rich,-6.949538538,8.311927996,122.1818422,TRUE
19125a,175,6,7/23/2019,edge,mixed,13:49:26,0:00:01,1,rest,wild bergamot,525741.5142,4751937.155,rich,-8.164600109,85.72238553,114.017242,
19125a,176,7,7/23/2019,edge,mixed,13:49:44,0:00:01,1,fly,air,525819.815,4751902.265,poor,,,,
19127a,177,1,7/23/2019,edge,mixed,12:10:00,0:07:06,426,release,wild bergamot,525684.8503,4751964.461,rich,,0.156220006,207.1555393,
19127a,178,2,7/23/2019,edge,mixed,12:17:08,0:18:15,1095,rest,grass,525684.779,4751964.322,rich,-9.065667304,0.588067819,198.089872,TRUE
19127a,179,3,7/23/2019,edge,mixed,12:35:25,0:11:43,703,rest,grass,525684.5964,4751963.763,rich,,,,
19130a,180,1,7/24/2019,corn,mixed,9:17:00,0:12:45,765,release,corn,525675.8424,4751771.062,crop,,4.646714404,169.2390045,
19130a,181,2,7/24/2019,corn,mixed,9:29:49,0:00:01,1,fly,air,525676.71,4751766.497,crop,,,,
19131a,182,1,7/24/2019,corn,mixed,10:55:00,0:06:20,380,release,corn,525675.4279,4751771.196,crop,,1.920975505,332.1196305,
19131a,183,2,7/24/2019,corn,mixed,11:01:22,0:00:10,10,rest,corn,525674.5296,4751772.894,crop,-175.9970762,3.967571046,156.1225543,TRUE
19131a,184,3,7/24/2019,corn,mixed,11:01:34,0:07:45,465,rest,corn,525676.1356,4751769.266,crop,-53.50066199,10.2280785,102.6218924,TRUE
19131a,185,4,7/24/2019,corn,mixed,11:09:26,0:00:01,1,fly,air,525686.1165,4751767.031,crop,-10.22850695,20.35425588,92.39338541,
19131a,186,5,7/24/2019,corn,mixed,11:09:34,0:03:00,180,feed,wild bergamot,525706.453,4751766.181,rich,-12.34888092,45.75343987,80.04450449,
19131a,187,6,7/24/2019,corn,mixed,11:14:02,0:00:01,1,fly,air,525751.5175,4751774.091,rich,14.32399261,51.29261613,94.3684971,
19131a,188,7,7/24/2019,corn,mixed,11:15:31,0:00:01,1,rest,grass,525802.6611,4751770.184,poor,48.19343402,17.81713603,142.5619311,
19131a,189,8,7/24/2019,corn,mixed,11:16:00,0:06:20,380,rest,grass,525813.4922,4751756.037,poor,,,,
19132a,190,1,7/24/2019,corn,mixed,11:50:00,0:02:11,131,release,corn,525676.1271,4751771.246,crop,,0.424087208,1.161972042,
19132a,191,2,7/24/2019,corn,mixed,11:52:13,0:02:40,160,rest,bare ground,525676.1357,4751771.67,crop,20.86704128,0.560952904,22.02901333,TRUE
