ctmmlabel,class,occu,release,count
bn,crop,low,edge,0
bn,crop,moderate,edge,0
bn,crop,high,edge,0
bp,edge,low,edge,11438
bp,edge,moderate,edge,0
bp,edge,high,edge,0
bp,rich,low,edge,60948
bp,rich,moderate,edge,3
bp,rich,high,edge,0
bp,poor,low,edge,0
bp,poor,moderate,edge,0
bp,poor,high,edge,0
bp,crop,low,edge,0
bp,crop,moderate,edge,0
bp,crop,high,edge,0
bs,edge,high,edge,2
bs,edge,low,edge,183
bs,edge,moderate,edge,7
bs,rich,high,edge,1
bs,rich,low,edge,188
bs,rich,moderate,edge,1
bs,poor,low,edge,0
bs,poor,moderate,edge,0
bs,poor,high,edge,0
bs,crop,low,edge,0
bs,crop,moderate,edge,0
bs,crop,high,edge,0
bt,crop,low,edge,40923
bt,crop,moderate,edge,0
bt,crop,high,edge,0
bt,edge,low,edge,32746
bt,edge,moderate,edge,0
bt,edge,high,edge,0
bt,poor,low,edge,50918
bt,poor,moderate,edge,0
bt,poor,high,edge,0
bt,rich,high,edge,1
bt,rich,low,edge,88695
bt,rich,moderate,edge,1
db,edge,low,edge,2412
db,edge,moderate,edge,4
db,edge,high,edge,0
db,poor,high,edge,1
db,poor,low,edge,3438
db,poor,moderate,edge,1
db,rich,low,edge,23698
db,rich,moderate,edge,3
db,rich,high,edge,0
db,crop,low,edge,0
db,crop,moderate,edge,0
db,crop,high,edge,0
dz,edge,moderate,edge,0
dz,edge,high,edge,0
dz,edge,low,edge,757
dz,rich,low,edge,1533
dz,rich,moderate,edge,0
dz,rich,high,edge,0
dz,poor,moderate,edge,0
dz,poor,low,edge,0
dz,poor,high,edge,0
dz,crop,moderate,edge,0
dz,crop,low,edge,0
dz,crop,high,edge,0
ea,edge,high,edge,0
ea,edge,moderate,edge,0
ea,edge,low,edge,757
ea,rich,low,edge,1479
ea,rich,high,edge,0
ea,rich,moderate,edge,0
ea,poor,moderate,edge,0
ea,poor,low,edge,0
ea,poor,high,edge,0
ea,crop,moderate,edge,0
ea,crop,low,edge,0
ea,crop,high,edge,0
eb,edge,low,edge,1722
eb,edge,moderate,edge,0
eb,edge,high,edge,0
eb,rich,low,edge,0
eb,rich,high,edge,0
eb,rich,moderate,edge,0
eb,poor,moderate,edge,0
eb,poor,low,edge,0
eb,poor,high,edge,0
eb,crop,moderate,edge,0
eb,crop,low,edge,0
eb,crop,high,edge,0
