Date,Time,Antenna,Power,Tower,M_ID,Year
8/3/2019,19:25:23,1,66,T2,168,2019
8/3/2019,19:25:25,1,66,T2,168,2019
8/3/2019,19:25:28,2,61,T2,168,2019
8/3/2019,19:25:30,2,60,T2,168,2019
8/3/2019,19:25:35,3,71,T2,168,2019
8/3/2019,19:25:36,3,71,T2,168,2019
8/3/2019,19:25:46,1,66,T2,168,2019
8/3/2019,19:25:47,1,66,T2,168,2019
8/3/2019,19:25:49,1,66,T2,168,2019
8/3/2019,19:25:52,2,60,T2,168,2019
8/3/2019,19:25:54,2,60,T2,168,2019
8/3/2019,19:25:57,3,72,T2,168,2019
8/3/2019,19:25:59,3,71,T2,168,2019
8/3/2019,19:26:00,3,72,T2,168,2019
8/3/2019,19:26:10,1,67,T2,168,2019
8/3/2019,19:26:12,1,66,T2,168,2019
8/3/2019,19:26:13,1,66,T2,168,2019
8/3/2019,19:26:16,2,61,T2,168,2019
8/3/2019,19:26:18,2,61,T2,168,2019
8/3/2019,19:26:21,3,72,T2,168,2019
8/3/2019,19:26:23,3,71,T2,168,2019
8/3/2019,19:26:24,3,72,T2,168,2019
8/3/2019,19:26:34,1,64,T2,168,2019
8/3/2019,19:26:36,1,66,T2,168,2019
8/3/2019,19:26:37,1,66,T2,168,2019
8/3/2019,19:26:40,2,60,T2,168,2019
8/3/2019,19:26:42,2,60,T2,168,2019
8/3/2019,19:26:45,3,72,T2,168,2019
8/3/2019,19:26:47,3,71,T2,168,2019
8/3/2019,19:26:48,3,72,T2,168,2019
8/3/2019,19:26:58,1,66,T2,168,2019
8/3/2019,19:27:00,1,66,T2,168,2019
8/3/2019,19:27:01,1,66,T2,168,2019
8/3/2019,19:27:04,2,60,T2,168,2019
8/3/2019,19:27:06,2,61,T2,168,2019
8/3/2019,19:27:09,3,72,T2,168,2019
8/3/2019,19:27:11,3,71,T2,168,2019
8/3/2019,19:27:12,3,71,T2,168,2019
8/3/2019,19:27:22,1,65,T2,168,2019
